State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:50,Executive,112₹,40,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:50,Premier,112₹,160,0
Maharashtra,Mumbai,InoxNeelyogSquareMallGhatkoparE,Hindi,09:50,Silver,112₹,81,2
Gujarat,Surat,InoxDrWorldParvatPatiya,Hindi,10:05,Executive,112₹,93,4
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:15,Recliner,149₹,11,6
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:15,Classic,99₹,120,0
UttarPradesh,Allahabad,PvrVinayakCivilLines,Hindi,10:15,Prime,99₹,90,26
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,11:00,Platinum,199₹,5,4
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,11:00,Gold,112₹,97,2
UttarPradesh,Moradabad,MovietimeMiglaniCinemasGandhiNagar,Hindi,11:00,Silver,112₹,51,0
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,11:00,Club,112₹,220,4
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,Hindi,11:00,Executive,90₹,45,0
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,11:15,Royale,160₹,34,6
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,11:15,Club,140₹,74,0
Haryana,Rohtak,InoxSkytechMallRohtak,Hindi,11:15,Executive,110₹,41,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,11:30,Classic,99₹,97,8
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:20,RoyaleRecliners,300₹,12,2
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:20,Royale,170₹,30,1
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:20,Club,150₹,125,1
UttarPradesh,Lucknow,InoxLucknowCrownMallLucknow,Hindi,12:20,Executive,130₹,26,0
UttarPradesh,Gorakhpur,InoxOrionMallMohaddipur,Hindi,12:30,RoyaleRecliners,450₹,8,0
UttarPradesh,Gorakhpur,InoxOrionMallMohaddipur,Hindi,12:30,Royale,220₹,38,4
UttarPradesh,Gorakhpur,InoxOrionMallMohaddipur,Hindi,12:30,Club,200₹,108,10
UttarPradesh,Gorakhpur,InoxOrionMallMohaddipur,Hindi,12:30,Executive,180₹,26,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,12:45,RoyaleRecliners,280₹,5,4
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,12:45,Royale,220₹,49,4
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,12:45,Club,210₹,48,0
MadhyaPradesh,Gwalior,InoxDbMallRaceCourseRoad,Hindi,12:45,Executive,180₹,24,0
MadhyaPradesh,Indore,InoxC21MallSheetalNagar,Hindi,13:15,Normal,190₹,164,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,Hindi,14:05,Insignia,450₹,33,4
Haryana,Gurgaon,InoxAiplJoyStreetGurgaon,Hindi,15:20,RoyaleRecliner,350₹,9,0
Haryana,Gurgaon,InoxAiplJoyStreetGurgaon,Hindi,15:20,Club,200₹,52,0
Haryana,Gurgaon,InoxAiplJoyStreetGurgaon,Hindi,15:20,Royale,200₹,51,0
Haryana,Gurgaon,InoxAiplJoyStreetGurgaon,Hindi,15:20,Executive,180₹,26,0
UttarPradesh,Lucknow,InoxEmeraldMallLucknow,Hindi,15:20,Club,99₹,48,0
