State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,18:50,Vip,400₹,74,10
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,19:00,Gold,120₹,196,23
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,22:05,Normal,150₹,31,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,22:05,Premium,150₹,34,2
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,22:05,Executive,150₹,84,0
