State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,11:45,Balcony,100₹,240,222
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,11:45,RearStall,70₹,300,280
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,14:45,Balcony,100₹,240,222
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,14:45,RearStall,70₹,300,280
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,15:20,Vip,500₹,11,0
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,15:20,Premium,200₹,45,2
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,15:20,Executive,180₹,51,0
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,15:20,Normal,160₹,24,0
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,17:45,Balcony,100₹,240,222
Odisha,Berhampur,SivamaxCinemasBerhampur,Oriya,17:45,RearStall,70₹,300,280
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,18:50,Vip,500₹,13,0
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,18:50,Premium,220₹,66,4
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,18:50,Executive,200₹,94,0
Odisha,Bhubaneswar,CinepolisEsplanade,Oriya,18:50,Normal,180₹,35,0
